,_,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
_,0,0,0,1,0,0,3,1,2,0,0,3,1,2,0,1,2,0,1,7,1,0,1,7,0,0,1
a,4,0,11,71,13,4,8,29,2,100,0,2,288,27,115,0,51,0,123,88,65,34,3,2,0,7,2
b,0,2,0,0,0,9,0,0,0,12,0,0,10,0,0,6,0,0,7,1,1,7,0,0,0,0,0
c,0,15,0,4,0,191,0,0,99,116,0,11,5,0,0,15,0,0,9,21,17,11,0,0,0,15,0
d,4,20,0,0,0,48,0,12,0,46,0,0,8,0,0,2,0,0,5,4,0,7,0,0,0,5,1
e,6,161,0,30,253,28,19,3,0,17,0,1,94,20,130,15,3,0,185,150,51,16,0,7,5,9,11
f,1,3,0,0,0,17,4,0,0,23,0,0,3,0,0,1,0,0,5,0,5,20,0,0,0,0,0
g,0,19,0,0,0,84,0,9,60,18,0,0,2,0,11,1,0,0,7,1,5,22,0,0,0,17,2
h,0,5,0,0,0,55,0,0,0,18,0,0,3,0,6,20,0,0,2,1,32,0,0,0,0,7,2
i,0,97,5,117,22,142,11,23,0,0,0,0,35,28,91,59,33,0,18,91,110,8,6,0,0,0,14
j,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0
k,1,0,0,0,0,27,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
l,3,17,0,2,13,197,1,0,0,37,0,1,31,0,0,50,1,0,0,7,4,8,1,0,0,62,9
m,0,30,20,0,0,82,0,0,0,26,0,0,0,2,12,39,19,0,0,6,0,4,0,0,0,0,4
n,8,56,0,43,50,186,0,67,0,76,1,0,4,0,4,13,1,1,0,60,118,15,0,0,2,9,25
o,3,19,3,25,8,11,5,9,0,14,0,1,40,57,86,7,22,0,72,22,22,188,1,30,3,19,2
p,2,16,0,0,0,33,0,0,62,3,0,0,9,0,0,13,5,0,24,0,16,1,0,0,0,2,0
q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0
r,2,80,0,20,10,216,1,1,3,94,0,0,3,3,25,22,2,0,2,24,18,12,0,0,0,45,12
s,3,13,0,37,0,74,1,0,25,82,0,0,0,10,0,17,6,0,0,19,64,4,0,15,0,11,0
t,6,68,0,9,0,369,0,3,46,139,0,0,18,1,1,31,0,0,40,34,11,40,0,1,0,9,17
u,0,34,12,35,11,51,10,12,0,46,0,0,53,32,31,5,26,1,56,50,17,0,0,0,0,0,1
v,0,3,0,0,0,79,0,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
w,0,3,0,0,1,29,0,0,14,1,0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,1,1
x,0,2,0,13,0,3,0,0,6,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
y,4,9,0,7,0,14,0,0,0,0,0,0,3,9,0,3,0,0,0,8,0,0,0,0,0,0,4
z,0,3,0,0,0,4,0,0,2,1,0,0,1,0,0,0,0,0,2,12,5,0,0,0,0,0,3
