,_,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
_,0,11,5,5,3,6,3,8,6,3,1,4,10,3,8,7,4,0,5,11,6,0,3,8,0,1,5
a,11,1,8,30,28,8,3,7,4,52,0,5,114,15,59,5,15,0,92,47,44,29,1,3,2,10,5
b,0,3,0,0,0,21,0,0,0,4,0,0,5,0,1,5,0,0,3,6,2,5,0,1,0,1,1
c,0,10,0,1,0,82,0,0,32,21,0,39,4,0,0,10,0,1,2,8,37,12,1,0,3,7,1
d,11,9,0,0,1,79,1,1,1,18,2,0,3,0,0,10,0,0,7,5,1,3,0,0,0,2,2
e,34,112,0,44,93,27,16,11,1,41,0,6,75,23,84,14,10,1,229,98,47,8,1,12,1,18,28
f,0,5,0,0,1,19,1,0,0,4,0,0,2,0,0,6,0,0,4,0,3,2,0,0,0,1,0
g,1,7,0,1,3,44,0,0,8,8,0,1,3,0,1,5,0,0,4,4,4,13,0,0,0,0,2
h,7,10,0,1,0,71,0,4,0,15,0,0,2,0,1,13,0,0,7,2,19,5,0,0,0,6,1
i,2,54,2,46,24,139,12,13,3,0,0,2,55,15,70,44,4,0,19,87,62,16,5,0,1,2,7
j,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0
k,12,2,0,0,0,32,0,1,0,4,0,0,0,0,0,2,0,0,0,4,1,0,0,0,0,0,3
l,9,21,0,2,7,153,1,0,0,41,0,0,23,3,0,19,0,0,1,5,1,8,0,0,0,21,1
m,4,32,2,0,1,71,0,0,0,20,0,1,0,0,16,9,4,0,2,5,3,11,0,0,0,4,1
n,17,42,1,23,32,127,1,33,3,57,0,7,3,1,5,8,1,0,2,24,93,7,1,2,0,7,7
o,6,23,4,16,9,12,6,1,2,11,0,2,38,24,72,13,17,0,53,15,8,86,2,18,1,3,0
p,5,5,0,1,0,40,0,0,13,9,0,0,2,0,0,2,0,0,7,0,7,0,0,0,0,0,0
q,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
r,19,28,3,9,9,174,0,2,1,40,0,0,11,0,10,16,4,0,6,18,14,11,1,2,0,16,9
s,4,20,0,21,3,128,0,1,44,32,0,0,6,2,3,7,2,0,1,23,45,14,1,2,0,3,13
t,17,45,0,1,2,177,2,2,36,52,1,0,6,0,0,16,0,0,12,33,2,9,0,0,0,8,7
u,0,25,0,10,6,35,3,6,1,31,0,0,58,7,18,4,4,0,52,42,19,0,1,1,0,1,0
v,0,2,0,1,0,37,0,0,0,17,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0
w,3,1,0,0,2,22,0,1,12,3,0,0,1,0,3,0,0,0,1,0,0,0,1,0,0,1,0
x,1,0,0,13,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0
y,20,2,0,2,1,27,0,0,0,3,0,0,2,2,0,0,1,0,1,13,2,2,0,0,0,0,14
z,1,4,0,0,0,12,0,0,0,3,0,0,2,0,1,2,0,0,3,0,2,1,0,0,0,1,3
