,_,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z
_,0,1,0,0,0,3,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,77
a,0,0,0,6,8,424,2,0,4,241,0,0,5,0,5,187,3,0,10,6,5,56,0,4,0,6,0
b,0,1,0,0,18,0,2,0,1,1,0,0,2,4,3,1,22,0,2,1,2,0,7,2,0,0,2
c,0,1,0,0,4,2,3,25,3,3,0,18,8,1,2,2,6,7,0,118,39,2,2,5,8,1,4
d,0,3,23,6,0,12,5,13,0,0,15,2,1,4,10,2,1,0,5,3,39,2,3,3,0,2,1
e,0,381,4,6,3,0,1,4,8,508,0,0,16,2,11,150,0,0,11,9,13,100,0,3,0,39,6
f,0,2,4,2,4,2,0,2,3,1,0,1,4,3,2,1,4,0,3,3,4,0,18,5,0,0,0
g,0,1,0,11,13,2,2,0,3,0,11,4,1,6,4,1,1,2,2,2,6,1,1,4,1,2,1
h,0,1,0,4,1,3,2,0,0,5,0,3,3,1,10,1,2,0,3,9,6,2,0,1,0,2,0
i,0,139,0,0,1,412,1,0,10,0,0,0,8,0,3,50,1,0,3,1,8,57,0,2,0,78,1
j,0,0,0,0,2,0,1,8,2,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0
k,0,1,0,38,4,1,1,6,13,1,0,0,5,1,2,0,3,0,2,4,15,1,0,3,1,3,0
l,0,8,5,3,6,6,3,1,4,10,0,1,0,3,5,4,1,0,13,2,18,5,0,8,0,4,0
m,0,0,7,1,2,8,1,0,3,1,0,0,0,0,61,0,1,0,2,2,2,0,0,5,2,0,1
n,1,5,3,6,9,6,2,7,3,3,0,0,10,112,0,5,0,0,14,3,6,5,2,2,0,1,1
o,0,173,0,0,2,80,0,1,5,62,0,0,5,1,5,0,2,0,5,2,2,95,0,5,0,1,2
p,0,1,24,2,2,8,10,0,2,0,0,0,2,8,1,3,0,0,2,3,2,0,2,1,0,0,1
q,0,2,1,18,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
r,0,9,1,3,6,18,13,1,8,12,0,1,28,6,14,1,7,0,0,10,7,15,2,3,1,4,1
s,0,8,1,217,8,11,4,3,10,5,0,0,2,4,3,3,4,0,2,0,40,3,1,2,8,2,17
t,0,2,2,34,36,5,2,4,13,7,1,7,10,8,4,0,8,0,6,15,0,2,0,2,0,3,0
u,0,56,0,1,0,83,1,1,2,67,1,0,5,2,7,77,0,0,3,4,3,0,2,30,0,6,0
v,0,0,4,2,3,0,21,0,1,1,0,0,2,1,4,1,0,0,2,1,0,0,0,2,2,1,1
w,0,1,1,0,2,3,3,0,7,1,0,1,1,3,6,2,0,0,4,4,3,24,4,0,0,1,0
x,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,1,0,0,2
y,0,1,0,1,1,15,1,1,1,74,0,0,2,1,2,7,0,0,4,1,5,6,2,4,0,0,0
z,8,4,5,9,10,23,2,6,3,4,0,1,3,2,2,1,14,0,5,32,3,2,1,3,6,2,7
